spam	WIN a free iPhone now!!! Click the link to claim your prize.
spam	Your account is suspended. Verify your password immediately to restore access.
spam	Congrats! You have been selected for a CASH reward. Reply with your bank details.
spam	URGENT: unusual login detected. Confirm your identity here.
spam	You won 500 EUR gift card. Limited time offer, act now.
spam	Bitcoin giveaway: send 0.01 BTC and receive 0.1 BTC back.
spam	Final notice: pay your invoice or we will take legal action.
spam	Security alert: verify your account to avoid termination.
spam	Claim your lottery winnings. Processing fee required.
spam	FREE subscription trial ends today. Update payment to continue.
spam	Congratulations winner! Provide your phone number to receive reward.
spam	Your package is held at customs. Pay the fee to release it.
spam	Reset your email immediately: suspicious activity found.
spam	Earn money from home fast!!! No experience needed.
spam	Exclusive offer: lowest price meds, order now.
spam	You are pre-approved for a loan. Apply in 2 minutes.
spam	Act now to avoid account closure. Confirm details.
spam	Get rich quick with this simple trick. Click to learn.
spam	We detected fraud. Verify your card to prevent charges.
spam	Last chance: claim your prize before it expires.
promo	20% off shoes this weekend — use code SAVE20 at checkout.
promo	New arrivals: winter jackets now in stock. Shop the collection.
promo	Flash sale: buy 1 get 1 free on selected items.
promo	Your monthly newsletter: top 10 deals you might like.
promo	Upgrade to Premium for ad-free listening — first month 1 EUR.
promo	Limited time: free shipping on orders over 30 EUR.
promo	Black Friday preview: early access starts tomorrow.
promo	Recommended for you: products back in stock.
promo	Try our new app update — discover personalized offers.
promo	Event invitation: online webinar on productivity tools.
promo	Special offer for students: 50% discount on annual plan.
promo	Bundle deal: laptop + accessories with 15% off.
promo	Seasonal promo: holiday gifts under 25 EUR.
promo	Refer a friend and both of you get 10 EUR credit.
promo	Your cart is waiting — complete your purchase and save.
promo	New course drop: learn Python faster with our sale price.
promo	Today only: extra points on loyalty purchases.
promo	Limited seats: sign up for the workshop early.
promo	Price drop alert: the item you viewed is cheaper now.
promo	Reminder: sale ends tonight at 23:59.
important	Can we meet tomorrow at 10:00 to review the project plan?
important	Please send the final invoice by Friday so I can process payment.
important	The server is down again — can you check the logs and restart the service?
important	I attached the contract draft. Let me know if you have any comments.
important	Reminder: standup moved to 9:30 today.
important	Could you review my PR when you have time?
important	We need to finalize the agenda for next week's meeting.
important	Your appointment is confirmed for Monday at 14:00.
important	Please update the documentation for the deployment steps.
important	Can you call me when you’re free? It’s about the client request.
important	The build failed in CI. Investigate the failing tests please.
important	I’m sharing the notes from yesterday’s meeting.
important	Let’s sync on the budget numbers this afternoon.
important	Can you grant me access to the repository?
important	Thanks — I received the files. I’ll respond with feedback soon.
important	Shipping address confirmed. Please proceed with delivery.
important	Your ticket has been created: issue #4312. We’ll follow up.
important	Please approve the timesheet before end of day.
important	Meeting minutes: action items and deadlines attached.
important	Can you update me on the status of the database migration?
